Respondent,RLH,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40
1011,445,3.406935,-0.066669,1.139372,0.379114,-1.091523,-0.091806,1.044405,-1.156089,0.083889,2.81982,1.088268,-0.501385,1.609299,1.965927,0.281339,-1.67625,0.128043,3.275469,2.619782,0.713595,0.255956,-3.644563,-1.067169,1.716714,0.19436,1.271598,0.488747,1.90606,-4.935852,-0.140704,-5.094156,1.367968,0.971383,1.543271,1.724854,-0.908399,-0.590001,1.631205,-1.367909,2.775901
1014,297,0.05749,-0.517735,-0.558233,0.099345,1.811477,0.997864,1.436555,1.50177,0.775668,1.699002,0.960057,0.637204,0.776492,-0.095572,4.250596,0.677939,0.302837,0.78336,-1.771606,-0.178231,0.973332,1.384385,0.444623,1.352214,-0.889335,-0.16134,1.62459,0.289095,1.56066,-1.153937,0.364616,0.190721,0.111841,-0.931732,-0.884289,0.176301,1.485245,0.717788,1.14339,-0.187766
1015,495,-2.481541,-4.665519,-3.136883,-4.342044,-3.251905,-4.186514,-2.846085,-4.442225,-5.217004,-3.770793,-2.776043,-5.461344,-3.19059,-1.994136,-5.986249,-3.143539,-5.866328,-0.587158,-2.541909,-5.193747,-0.822243,-9.438624,-5.873497,-4.434851,-4.299577,-0.029195,-4.739089,-4.816964,-9.376306,-4.603392,-8.010275,-3.824292,-2.179824,-5.437315,-3.492345,-3.167031,-4.873949,-3.323329,-7.649678,-4.425644
1016,391,1.408836,1.094294,1.258836,0.418918,0.265696,1.904539,3.419631,2.021347,0.916307,2.157218,2.622725,1.145086,4.185784,3.107502,3.391243,1.603454,1.445249,3.022667,0.255727,1.05867,3.525577,-1.114082,1.593429,3.48985,0.610172,2.81645,2.92262,1.988966,0.592746,-0.895692,0.399425,2.757747,4.12089,0.699033,0.406437,1.2922,1.785328,1.84758,0.236772,-0.149493
1017,484,2.634253,-1.687327,1.132577,0.275205,0.83614,-0.213533,2.407037,0.862192,-0.51294,1.836402,-0.045511,1.892345,2.756628,4.35399,0.809026,1.909395,0.53462,2.45181,2.159203,0.52381,2.945529,-4.244861,-0.04069,2.132501,0.162005,2.945677,-0.548126,-0.479022,-0.917627,0.247228,-2.332678,2.599202,2.247783,0.643314,0.734764,0.543813,-0.126096,1.877179,-2.329335,1.382469
1018,265,-2.476266,-1.133723,-0.771621,-1.189229,-0.599563,-1.044719,-0.779984,-1.570378,-0.968961,-0.92784,0.46444,-0.439512,-0.95807,-1.348395,-0.174148,-1.246611,-0.306844,0.582811,1.792522,-0.931186,-0.84524,-1.44022,-2.442071,0.22329,-2.008871,0.519266,-0.778438,-1.846912,-1.823436,-1.390939,-4.758776,-0.335961,0.783063,-0.723963,-0.66708,-0.296693,-0.551579,0.050248,-1.21963,-1.727495
1019,501,-3.442725,-5.325275,-2.165931,-1.763549,-2.735847,-3.445294,-1.60681,-3.343844,-5.196625,-3.992855,-3.884083,-2.410227,-1.738498,0.722166,-2.827912,-1.107046,-4.729307,-3.662193,-4.287813,-4.077371,-0.413239,-6.732269,-5.043902,-2.908279,-1.466113,-0.898983,-5.095216,-3.461211,-4.522317,-5.659574,-2.342324,-3.813805,-2.023667,-2.992481,-4.865778,-2.157385,-2.566324,-3.253365,-6.599686,-4.674297
102,466,0.811703,-1.489114,-0.054224,-0.069015,-1.617462,-2.059012,0.832414,-1.084451,-0.257689,-0.231408,-1.126575,-2.77298,-0.925383,0.783127,-2.348435,-3.183154,-2.545561,1.65427,2.135854,-0.674711,-0.08368,-4.064484,-4.296805,-0.125278,-1.409991,1.877503,-1.454844,-2.567692,-4.565159,-1.699523,-6.642954,0.469091,-0.573887,-0.90873,-0.390013,-0.779198,0.088578,0.536944,-3.502786,-1.914424
1021,474,-2.877304,-3.538769,-1.258611,-2.936451,-3.875134,-2.987245,-1.312106,-3.292071,-3.909833,-2.382224,-2.304551,-4.768338,-2.381947,-1.231959,-2.118746,-3.878307,-5.477946,-1.537206,-1.32712,-3.904112,-1.681301,-5.956571,-5.486534,-2.79032,-4.188298,-0.979289,-2.366504,-3.15185,-7.563425,-4.381292,-7.125697,-2.297308,-1.259608,-4.244662,-5.401992,-2.498845,-1.819255,0.098662,-4.082795,-3.248328
1023,427,-1.869138,1.115643,-0.505578,-1.305805,-1.72878,-2.145273,0.53417,-2.249127,-0.029326,0.094057,-2.622873,-2.443373,-1.884568,-1.146135,0.991884,-2.43741,-1.087794,0.227491,0.249273,-0.754364,-1.354616,2.801947,-1.243196,-0.409195,-0.418851,0.40558,-0.12558,-1.234148,-0.806969,0.119045,-2.393366,-0.671405,-1.214864,-1.156314,0.646333,-1.728806,-1.515793,-0.151106,1.669338,-2.08812
1024,447,1.694577,-1.232185,-0.129873,1.091374,3.00655,0.748167,3.50188,2.77762,-0.485433,2.199389,1.56938,0.171191,2.445957,2.425451,1.89719,1.109382,-1.392433,-0.253052,2.714647,-0.22388,3.172708,1.200371,-2.381171,2.14336,-0.647275,2.907193,0.685963,-1.79271,-0.965126,-1.313118,-2.854241,1.178556,1.996131,0.423273,-1.630908,0.661949,1.471197,1.943046,0.192597,0.476071
1026,217,0.544813,0.115754,0.120126,0.112652,0.010364,-1.164554,1.555076,0.365586,-0.813442,0.655542,0.054004,-0.456028,0.795147,1.024951,-0.021033,-0.123665,-0.096716,1.278479,1.751592,0.469235,0.833016,-2.126272,-1.148802,0.386451,-0.946533,1.144552,0.137031,-0.024478,-1.489861,-1.288751,-2.037394,1.016094,-0.308651,-0.562209,0.001037,-0.206481,-1.203675,0.725945,-0.01475,-0.745803
1027,565,0.082803,-0.501528,-0.932021,-1.424161,-1.795613,-3.894162,-0.077023,-3.139118,-0.611102,3.470102,-1.00372,-2.047775,-0.323469,-0.283764,-0.11272,-3.623005,2.076708,2.877481,1.820897,-0.252911,-0.610706,-2.606613,-2.477008,-0.132926,-1.735836,-0.243478,0.297799,-1.798292,-2.387325,-0.371838,-4.906161,0.42381,-0.014536,-0.765682,1.143173,-2.711746,-1.216397,0.813065,-0.209895,-0.546043
1029,553,-3.326729,-1.640878,-1.683815,-3.878687,-1.792079,-1.507803,-2.513922,-3.435359,-2.552258,0.375729,-2.82541,-4.057803,-1.972123,-2.391213,-4.143928,-3.097089,-4.186676,-0.077173,-0.441005,-5.653886,-1.323259,-8.161871,-4.22368,-3.877135,-5.375541,-1.118344,-3.152803,-2.723295,-7.112189,-5.623848,-6.801825,1.633056,-0.682144,-3.398547,-3.314286,-1.195282,-1.559819,-2.917087,-3.74251,-4.040455
103,537,2.611061,-3.001715,-0.2816,0.794786,2.441755,0.047235,2.173467,0.43066,-0.367803,2.46339,1.241045,0.699082,4.526667,2.700722,3.160854,0.67698,2.890103,3.738752,4.573009,-0.04436,3.736807,-3.648833,-0.544756,2.616844,-1.312526,1.919611,0.405586,1.167161,-0.216247,-3.235596,-2.550437,5.804509,3.798528,1.04135,-2.013393,-0.690953,-0.133172,2.954953,-1.262097,1.613076
1030,422,1.191713,2.043104,1.783774,0.151264,-2.67495,-0.69249,-0.336313,-2.958796,0.055366,0.383884,-0.077845,-1.907912,-0.714736,-0.47019,-1.077213,-2.808361,-1.192037,2.314996,1.926402,1.302986,-1.875116,-4.437611,-1.495439,0.432599,-1.416812,0.859928,0.468314,1.978209,-1.744665,1.073519,-5.646462,1.6714,-0.014496,0.085426,1.792369,-0.329764,-0.923691,0.271165,0.000563,1.51219
1032,463,-0.329757,-2.823722,-2.674023,-3.340178,-3.795827,-3.384976,-1.806408,-3.401651,-2.639724,-2.135328,-1.76394,-3.170434,-1.953901,-1.751004,-1.60422,-3.831227,-1.420453,0.877277,-1.418598,-1.071047,-2.422469,-6.996936,-4.593704,-1.91081,-2.393068,0.035248,-1.620644,-0.523193,-4.048147,-3.198363,-5.55248,-2.761117,-1.283334,-1.39434,0.106992,-2.509665,-2.089109,-1.071013,-4.223242,-1.428366
1034,408,-0.14097,-3.204014,-2.263906,-1.67914,0.140542,0.000574,0.243813,0.417239,-1.417641,-0.730702,0.807872,-1.06362,0.530428,0.015057,1.794925,-0.565702,-1.84027,0.524953,0.493072,-2.375442,-0.517382,-1.603567,-2.538958,1.273774,-1.497461,1.50106,2.133719,-0.08222,-1.571963,-4.87549,-3.187863,0.794907,1.080791,-1.525776,-1.883423,-1.114108,0.582252,1.017208,-1.85799,-0.085984
1037,511,0.565333,-1.620488,-2.130556,-1.743614,1.172811,-0.800982,0.629857,-1.763067,-1.892644,-0.421227,-0.627249,-2.33004,2.243306,-0.612827,0.113368,-1.138755,-2.513683,0.641067,2.828907,-1.375139,1.395215,-3.321845,-2.881444,0.115557,-1.660595,0.208124,-0.159452,-1.184476,-3.155417,-5.331268,-5.276304,2.64961,2.014407,-1.048478,-2.247584,-1.897875,-0.360794,1.5493,-1.572982,-0.233872
1038,498,-0.958481,-1.357963,-2.006007,-1.874976,-0.598324,-1.408191,-0.821884,-2.949439,-0.451387,2.286128,1.414919,-2.406943,-0.684454,-2.069706,-2.856216,-3.065659,-0.557735,1.934361,1.782162,-1.447361,-2.314508,-4.129074,-2.395622,-1.125167,-4.206367,-0.09589,-0.483724,-1.572968,-5.534695,-2.832851,-7.259015,1.137203,0.084264,-1.164018,-0.32984,-1.36351,-0.455542,-0.199383,-1.784715,0.445995
104,418,0.975627,-0.706691,4.246382,0.835654,1.039493,-0.306707,1.034284,0.89083,-1.68247,-0.31776,1.114066,-0.766042,1.594436,2.877703,-0.179302,0.187362,-1.767384,0.563729,0.54285,-0.507013,1.370741,-1.235333,-0.991886,0.149849,0.317413,2.975981,-0.523105,1.81901,-3.271214,-0.346737,-2.640006,-1.668088,1.540981,0.805536,-0.509267,2.779351,-0.699822,1.44872,-2.382507,1.097418
1042,494,-1.674738,-3.016539,-1.895205,-4.273549,-2.482843,-3.693218,-2.0738,-3.559722,-3.404346,-0.619921,-3.399988,-5.207311,-3.123769,-0.657317,-5.919195,-3.513626,-4.002405,-0.653211,-1.660911,-4.136814,-1.10427,-7.910136,-5.843702,-3.006439,-2.056739,-0.620227,-5.828334,-5.427488,-6.630869,-1.342104,-7.659883,-1.396834,-1.481734,-3.438666,-1.153946,-2.563209,-0.791946,-2.639582,-4.807058,-5.490212
1044,575,3.731564,-1.416276,-0.152023,0.245448,2.025763,1.586853,2.20749,1.045846,0.306384,2.488422,2.861383,-2.311513,3.750103,2.095765,1.271109,-0.307705,2.252697,4.671629,4.763037,1.040481,1.352691,-0.855138,-0.215611,2.420578,-0.798018,1.808066,2.904185,1.698508,0.019451,-3.078014,-2.166217,6.188362,4.70858,1.003328,0.112698,0.48176,0.311203,3.640171,-1.7826,2.879249
1045,433,-0.925402,-2.714868,-0.856306,0.591535,-1.760053,0.41177,0.539065,-0.097883,-0.623485,-0.883743,-0.987298,-0.964204,-0.46868,1.141224,-0.95246,-1.350112,-2.648101,0.361463,-0.931609,-1.134474,0.486234,-3.479927,-2.615467,0.607873,-1.518026,1.595787,0.020663,-1.031152,-4.629418,-2.048035,-2.670685,-0.112248,-1.141541,-0.810803,-2.459789,-0.995924,0.075665,-1.425296,-6.247035,-1.680167
1046,499,-3.395555,0.505321,-2.038951,-4.234632,-3.921785,-3.590336,-2.511262,-3.749867,-2.665535,-0.587856,-3.264455,-5.611586,-5.177211,-3.120663,-3.029903,-4.482448,-3.723433,-1.229309,-0.64149,-2.486204,-3.810112,-4.944089,-5.593263,-5.239234,-2.373134,-1.352083,-0.296071,-5.041483,-5.703307,-1.366867,-7.992286,-2.380051,-3.727937,-3.447158,1.209779,-2.062516,-1.795833,-2.338665,-1.553256,-4.457849
1047,366,-2.320261,-2.7901,-2.883008,-2.411973,-0.819588,-0.981395,-1.430701,-2.88053,-3.313978,-0.798656,-1.623817,-3.074151,-1.150712,-1.986639,-2.69596,-2.488423,-1.387562,-2.095847,-1.045252,-3.380851,-1.219648,-4.780107,-4.352825,-3.40304,-3.546718,-1.09312,-2.389593,-2.637817,-4.438397,-3.460512,-5.977111,-3.103436,-1.614442,-3.124387,-2.921473,-1.638517,-1.916527,-2.284867,-3.28151,-2.219121
1048,474,0.311657,-2.86946,-1.997068,-3.095088,-3.338616,-0.70684,-0.877813,-2.714332,-1.425224,1.575179,-0.009749,-1.527207,0.435117,-0.689633,1.301022,-2.492176,-0.913745,0.816295,2.952363,-1.243053,-0.864474,-5.810529,-4.233987,-0.069545,-4.457694,0.118283,-0.960563,-0.74585,-5.468711,-4.300022,-6.906131,2.373393,-0.114476,-1.854999,-0.541943,-3.859312,-1.730375,0.268708,-2.82377,0.173345
1049,474,4.289861,1.633468,1.809896,2.548478,6.161462,2.965739,3.428804,4.192669,1.68072,3.257278,3.649795,3.131174,4.555146,3.664234,2.842774,3.317094,3.679321,2.958671,3.41355,3.377464,1.067845,2.16565,2.358901,3.828166,0.137134,3.897087,4.181024,3.776138,3.273835,-0.688847,2.555345,3.296815,2.537462,3.90331,1.66618,1.632683,2.69948,3.173255,1.695312,5.026307
105,263,0.529572,1.787642,1.464274,0.403986,0.84853,1.318567,0.638763,0.894793,1.189631,1.057543,2.581421,0.26837,-1.143793,1.34968,2.195752,0.664935,0.253998,1.430244,-0.740264,0.937484,-0.495574,1.242875,-0.295168,1.05037,0.131869,1.587988,1.787846,1.30426,0.092057,0.871657,0.228273,0.95365,0.71552,0.177374,0.986715,-0.020705,0.325746,0.786877,2.781518,-0.040154
1051,393,2.925816,-0.188037,0.611638,0.118532,0.093137,2.363276,1.522101,0.159229,0.157032,2.88794,2.123789,0.892484,4.187246,2.169497,2.672914,1.161586,1.195381,3.842317,2.418421,1.214251,0.29393,-1.208628,0.866891,2.974904,-0.210036,0.846126,2.12078,4.534838,1.139631,-1.82655,-3.328917,3.418228,2.270061,1.366944,1.946658,-0.315033,1.294822,3.596189,0.16224,3.638847
1052,451,1.669428,-0.618121,0.364907,-1.842367,-1.979367,-0.84193,-0.157109,-1.467514,-1.955358,3.110917,0.784267,-0.578432,1.537903,0.877205,0.086775,-1.639743,1.423158,2.679737,3.343484,-0.511704,0.483081,-4.986283,-1.83627,0.740123,-2.524538,-0.944174,1.220267,0.56951,-0.934609,-1.747468,-4.664985,1.801895,0.683003,-0.455449,2.286371,-0.635397,-1.044671,1.881163,-1.587934,1.799384
1053,421,-4.659949,-4.017225,-4.324011,-3.840338,-4.074578,-5.328683,-2.763164,-4.84011,-2.820869,-1.568455,-4.586192,-5.514165,-4.096187,-4.078304,-5.170777,-4.495378,-4.834848,-2.385462,-2.137798,-4.609387,-3.298897,-6.249711,-5.087324,-4.969031,-5.923764,-2.127416,-4.582259,-5.869881,-8.670962,-3.637919,-9.44296,-3.215494,-3.619155,-5.617439,-3.465513,-3.524079,-2.812295,-4.102311,-6.270521,-5.420198
1057,622,1.669023,-3.795845,-1.149577,-2.555668,-2.548707,-1.631776,-1.820618,-2.400089,-2.345979,2.208717,-0.431644,-2.557824,1.452601,1.468107,-4.122359,-1.891472,1.050169,4.599167,4.97844,-0.738438,-0.555156,-7.490398,-2.128754,0.786671,-2.536434,-1.072866,-0.393501,-1.031038,-4.611659,-4.379794,-6.180514,4.329556,0.133567,-1.096513,1.306704,-3.840622,-2.331306,2.414068,-3.119031,1.237795
1059,464,1.115237,1.653118,-0.474333,-2.893102,-2.219454,-2.045096,-0.786672,-3.92003,-1.177594,1.918145,-0.600519,-1.8402,1.452379,-0.583896,-1.193742,-3.298855,0.976815,4.190237,1.602365,-0.57803,-0.011323,-6.947056,-2.406822,-0.431108,-3.252784,-0.686245,0.455652,-0.817095,-4.468909,-1.47512,-5.156111,1.751738,1.713188,-2.280137,1.959123,-2.463286,-2.496853,0.858353,-3.719913,0.379354
106,540,1.311678,-2.973466,0.904894,-0.361234,-0.925567,-1.380386,0.583953,3.102877,-2.780955,-0.91998,-0.033422,-0.292524,0.090723,3.465221,-1.810745,-0.568927,-2.325052,-0.978071,0.732083,-0.053728,0.976391,-3.392646,-4.092209,1.093185,-0.523754,1.24529,-2.067648,0.047163,-5.652753,-1.984704,-6.713469,0.241351,-0.123534,0.105428,-1.44888,0.122203,-0.965899,0.456072,-2.302229,-0.384055
1060,458,2.533326,-3.012452,-1.495914,0.320431,2.63726,-0.203074,2.140363,0.522387,-0.661818,2.279979,1.85127,0.634581,5.23673,0.887698,2.930016,0.438522,1.070341,4.239996,4.463711,-1.54634,3.233471,-1.647873,-1.060207,2.703101,-1.686791,1.922706,1.782092,0.047169,-2.058839,-3.090765,-3.164523,2.04482,4.505105,-0.357721,-0.500078,-0.905348,1.323007,3.798729,-0.930047,2.231603
1061,492,-4.032797,-1.542347,-4.070509,-4.808769,-4.432906,-4.347362,-3.741988,-5.841474,-2.77923,-1.201205,-3.759822,-5.006113,-3.579536,-4.215274,0.011051,-6.639098,-3.530727,1.753902,-2.060362,-3.390196,-3.460367,-7.366384,-6.682819,-5.843931,-6.589968,-2.062263,-3.201208,-5.484465,-7.38006,-0.410344,-7.741004,-1.130169,-3.176206,-5.436212,-1.857505,-3.049336,-3.322584,-3.855115,-4.43236,-5.434795
1062,348,0.160374,-3.032219,-0.040585,-0.724189,-1.837607,-0.345235,0.240984,-1.209184,-2.202248,1.478332,0.275762,-0.492734,0.816394,1.397465,-0.157971,-0.819489,-1.19837,1.775859,0.320993,-0.261272,0.185254,-2.482284,-1.30997,1.407308,-1.79605,0.611128,-0.394814,0.847209,-3.957757,-2.315317,-3.913743,1.668244,1.175786,1.199735,-0.418443,-2.762715,-1.500685,-0.357388,-3.546818,0.653158
1064,220,0.811323,1.25547,1.471782,1.11916,1.912543,1.209556,1.340141,0.850811,1.805012,1.390817,1.639772,1.072366,-0.798054,1.906168,1.883769,0.924874,0.602945,1.312472,1.486528,1.185618,0.567892,2.186675,0.815183,1.601302,0.541357,1.92167,2.156029,1.572914,0.845281,-1.345609,-0.592789,1.675264,1.504133,1.224539,0.146549,0.804162,1.447779,1.231476,-0.700715,0.034124
1067,449,-0.886599,-4.521203,-0.920809,-1.157777,-1.632685,-3.632793,-0.566844,-1.540458,-2.151882,-2.168835,-1.662854,-2.603771,-1.294076,0.235537,-1.575506,-0.4669,-5.444371,1.125335,0.121615,-2.868846,0.530182,-3.109142,-5.025129,-0.109938,-1.063138,1.076562,-3.710891,-3.127592,-6.187075,-3.093863,-4.720316,-2.308738,-0.158452,-1.546773,-3.311633,-1.950806,-0.447921,-0.997894,-3.268739,-1.888713
1068,566,-2.207526,-4.161333,-3.965968,-4.281054,-4.973143,-3.65557,-2.477286,-5.317158,-3.219504,0.201547,-1.541201,-4.782351,-0.959314,-2.970368,-5.203668,-6.989469,-2.0266,2.79644,0.084213,-3.308585,-1.736769,-9.859956,-4.457784,-2.263098,-7.015829,-1.858581,0.046231,-4.053023,-8.903827,-5.045455,-6.156113,-1.491093,-2.327624,-4.244794,-2.239332,-4.906393,-3.349171,-1.944113,-5.56995,-2.398906
1069,451,2.049208,0.10933,1.683957,0.561254,0.182593,1.696479,1.024536,-0.411178,0.962264,1.609377,0.963655,0.925282,1.869203,0.312974,0.982487,-0.342206,1.425124,3.663539,3.013301,1.774064,0.327081,-2.866975,-2.002928,2.573939,-0.749246,1.942156,1.59724,1.544122,-1.824668,-3.29452,-2.459856,3.562319,1.504802,1.998619,1.096381,-2.001571,1.064357,1.060107,-0.625613,2.080538
107,260,1.520968,-1.080375,1.29293,0.992361,0.017699,0.558936,0.946391,0.217873,-0.415726,0.270216,1.595922,1.113903,1.70305,2.435663,0.790177,0.577438,0.435408,2.259259,2.684493,0.622389,1.749404,-2.822075,-0.818658,1.612355,0.369733,1.590813,1.06714,1.895687,-0.162026,-0.564109,-1.997176,2.849098,0.654945,1.602728,1.431139,-0.338497,-0.134301,0.804634,-1.385439,1.231694
1070,425,0.975503,-0.847952,2.364218,0.12025,-0.924194,-0.619845,1.21716,0.497945,-1.539641,-2.566804,-0.124811,-0.583779,0.244118,1.737972,-0.924784,0.563891,-1.478619,0.907806,0.485904,-0.314141,2.617029,-3.467004,-1.350758,-0.084752,-0.5121,2.258362,-1.247826,-0.480818,-2.887578,-0.51846,-4.22576,0.400237,-0.126364,0.227253,-0.144393,1.157235,-0.053393,-0.337224,-3.251163,0.555977
1071,499,4.063202,-0.063003,1.198089,-0.053106,4.705131,1.413003,2.27253,1.715531,-1.816119,1.14118,3.091773,-0.324137,3.403047,4.154112,0.939682,3.12218,0.57952,2.679631,2.819765,1.091807,2.066012,-0.746158,-0.636784,2.611562,0.996975,2.606515,1.857623,2.251789,1.491932,-1.089899,-2.313657,2.771598,3.053862,0.955163,0.605728,0.689315,0.704937,3.795457,1.827385,3.416012
1072,430,-2.114542,-0.37748,0.667141,-0.245935,-2.91088,-0.187559,1.23687,-2.952485,0.172419,1.676344,-1.312364,-0.546486,-0.329998,1.889759,0.922242,-0.820181,-1.464792,2.7641,0.267666,-0.287586,-1.525641,-2.966123,-2.061445,0.558416,-0.576931,0.637232,-0.202439,1.692206,-2.571068,-0.694893,-2.718292,1.216992,-0.450113,0.451355,0.367977,-3.50224,-0.317243,-0.176473,-3.2277,-0.019674
1075,296,-0.607573,0.31766,1.686624,-0.140145,1.138519,0.262763,-0.033406,1.047224,-0.59907,0.149612,0.980577,-1.071681,-2.149754,0.22964,-1.001307,0.49306,-2.806439,0.001922,-1.058318,-0.653712,-0.891574,1.005377,-1.658813,0.347218,-1.848925,0.882992,0.530298,0.058361,-2.105014,-1.138345,-1.833302,-0.929563,-0.331514,-0.19596,-0.855478,-0.018753,-0.331845,0.598905,0.536354,0.455473
1076,487,2.877189,-2.142981,-0.887033,-1.127336,-1.199519,0.020997,1.367448,0.551496,-1.735219,-0.31055,0.8253,-0.705334,1.286397,2.737675,2.269088,0.351741,0.260008,1.978338,2.043682,-0.038995,0.968913,-2.060047,-3.209612,2.377494,1.489077,1.435505,0.386316,1.171433,0.189507,-3.658802,-3.036217,2.534088,1.277419,-1.332445,0.208399,-2.100432,-0.095862,1.677236,-0.401298,2.063748
1078,567,1.332255,-3.404613,-0.486401,-0.262142,-1.188683,-1.341091,0.73759,0.613628,-2.976171,0.027715,0.864555,-0.554439,1.005999,3.138831,-2.556051,0.019986,-1.999121,1.401206,1.164414,-2.211503,1.023146,-3.571206,-2.025521,0.556947,-0.683262,1.164785,-1.988766,-0.201276,-4.62093,-2.533363,-5.363754,0.602135,0.089125,0.660647,-0.861423,0.340919,-1.51629,-0.912623,-4.732309,2.1875
